Ceftriaxone,Tobramycin,Piperacillin-Tazobactam,Ciprofloxacin,Cotrimoxazole
6.232026e-05,0.00032872433,0.0017787175,0.0001576589,0.0030018173
0.00031256635,0.00023710004,0.0004343861,0.00015781292,0.0005375325
0.00097461377,0.0010531388,0.14383182,0.022373213,0.3888656
0.03418857,0.00054566894,0.0030420665,0.03228687,0.0021935855
0.012409857,0.0013441138,0.0018517167,0.0027239383,0.009271894
0.01058166,0.0011831693,0.0067417542,0.30788985,0.016068233
0.012740677,0.0031226345,0.0036457775,0.31040585,0.02297612
0.005992494,0.042154565,0.038433146,0.013468668,0.01181753
0.0015725417,0.031053057,0.0017015897,0.0011472333,0.0041056243
0.001723106,0.00023172575,0.00052511063,0.00050096295,0.000764782
0.98995274,0.32527477,0.90539974,0.8794862,0.81929225
0.0076583624,0.0033007779,0.0029677192,0.0063939863,0.010098877
0.0046423525,0.0012088382,0.00022638905,0.0042877416,0.0012688623
0.0007238497,0.00036694933,0.0038357892,0.008238248,0.0035436093
0.0030252177,0.00030929787,0.0011085528,0.0005832857,0.009496279
0.058829207,0.004196471,0.008564203,0.005518449,0.010255264
0.0023437443,0.0021229833,0.00056280487,0.012317657,0.01996817
0.00014690889,0.0017977991,0.0056367586,0.001734809,0.0026006051
0.04372277,0.0024377797,0.026403662,0.20423172,0.0070913867
0.0012455935,0.00059333054,0.0003824381,0.00023519344,0.0026318168
0.0010736996,0.00016787044,0.00058028195,0.004953466,0.0104487585
0.0047593922,0.005335889,0.00069119263,0.16002199,0.028362392
0.94622445,0.90441906,0.023506207,0.72134787,0.5918449
0.004853086,0.0006080832,0.0004806075,0.0041786805,0.009001519
0.625213,0.10467629,0.07191567,0.19627963,0.29834563
0.003032044,0.0015348245,0.0018852546,0.0012934931,0.024058614
0.0005860913,0.005028619,0.00044760763,0.005397456,0.0011005301
0.00044492268,0.0071004513,0.0041632303,0.0016952254,0.009596137
0.9193231,0.23612806,0.3888787,0.7755975,0.12576587
0.0028767185,0.008164856,0.019005092,0.009817606,0.0067271367
0.0017575031,0.0047048987,0.027258484,0.08416203,0.010305231
0.001197384,0.0010761393,0.01033792,0.02819199,0.049604636
0.00014852828,0.00024143643,0.0005541705,0.007206379,0.012487053
0.0075246985,0.001165872,0.056286894,0.0023146262,0.2653603
0.00060702494,0.00059253373,0.016262181,0.0129043,0.01313328
0.07515936,0.004614879,0.00033691683,0.010400194,0.3422342
6.2001876e-05,3.78238e-05,0.00029195123,0.00040241983,0.0030000384
0.0028414691,0.0074858223,0.002657909,0.08310832,0.0066887154
0.4361848,0.98384166,0.03840676,0.85915744,0.5853026
0.02740638,0.00049125595,0.001434133,0.0048091956,0.00073547225
0.006053802,0.00013093487,0.0022288011,0.022350507,0.0068740114
0.005505735,0.0021088517,0.0076429513,0.0015587439,0.008060645
0.0038963417,0.0013702882,0.00035037578,0.0073100133,0.024753435
0.0010275769,0.00927556,0.00035877217,0.003074459,0.0015926401
0.004312071,0.017298214,0.021365482,0.0033981362,0.001896819
0.0037897758,0.00012568939,0.0116186105,0.00253884,0.0027519986
0.034874167,0.00093004794,0.021894826,0.03571774,0.02186658
0.00093014765,0.0013809765,0.00035953813,0.001604229,0.0005384006
0.0035271721,0.01012663,0.00090209465,0.012502721,0.0022268794
0.0042737806,0.0137319835,0.00043406265,0.4230581,0.03214127
0.00045902948,0.0050910385,0.23871242,0.023753691,0.002886084
0.014747474,0.14426343,0.15764403,0.0028964696,0.0070001716
0.0007679512,0.0027578531,0.0013403337,0.012339174,0.0010368109
0.002399424,0.061045635,0.30692828,0.05765794,0.0077417926
0.004971575,0.0015178294,0.010315011,0.03549286,0.14161392
0.0043233414,0.0026374399,0.0062282304,0.004319523,0.018877912
0.0014681371,0.0017155168,0.0050735413,0.0072327983,0.0019404026
0.00090718054,0.0044788793,0.011392902,0.012915238,0.01234036
0.0019129389,0.0029137933,0.0015271265,0.014135858,0.016260672
0.00083748763,0.0085313255,0.009766024,0.016972162,0.0032614032
0.0026284957,0.0010522242,0.0016893332,0.019874722,0.0029621557
0.0047086272,0.00056003244,0.021530872,0.0017325999,0.003521052
0.9724224,0.0029272356,0.3692888,0.8641085,0.19334115
0.018476572,0.042003185,0.0033025416,0.004915779,0.11365369
0.0013054687,0.00029363923,0.0027399242,0.12587866,0.0025346158
0.00029013015,0.00023828348,0.0006787313,0.0020084258,0.007896888
0.005128598,0.0020540515,0.024299001,0.00092789804,0.014668305
0.00014661641,0.0025463195,0.0004348503,0.024745585,0.0019316007
0.0007461264,0.00019198006,0.002008703,0.0005632924,4.2514926e-05
0.0014797498,0.0012355644,9.5111325e-05,0.048462108,0.000550615
0.0459255,0.001086009,0.039414726,0.04730225,0.005390943
0.0010621884,0.00090449245,0.03290783,0.01629725,0.2069503
0.00023177832,0.001900798,0.0011632916,0.008126315,0.10113792
0.02553641,0.006718326,0.007652389,0.10540341,0.005082785
0.0069789905,0.0006475803,0.001840644,0.0038806312,0.005391582
0.0005359233,0.004219449,0.00056506076,0.00036081183,0.0026650424
0.013395943,0.00078652136,0.094804004,0.02564096,0.20074956
0.035817195,0.000863537,0.0023749152,0.1548573,0.02358622
0.0015834499,0.029982416,0.007660022,0.6092076,0.035626613
0.006683917,0.00450712,0.0022213832,0.0032618295,0.7157874
0.0034882277,0.038501773,0.00043300074,0.015577497,0.009691117
0.0014763979,0.0057450854,0.011222845,0.0070339385,0.000569027
0.019209359,0.0027512123,0.0011838496,0.0154948,0.006509482
0.00088988536,0.000986386,0.0010948584,0.00033299008,0.01833383
0.042088468,0.00018234106,0.0011822557,0.013663196,0.021626534
