order_name,antibiotic,auroc_mean,auroc_std,f1_mean,f1_std,hamming_loss_mean,hamming_loss_std,jaccard_score_mean,jaccard_score_std
option_a,Amoxicillin-Clavulanic acid,0.6351193168968373,0.016913714169390075,0.31648132502075316,0.02459064642324747,0.26166031987814165,0.005586004692531853,0.2911970043158162,0.006276075710338893
option_a,Ampicillin-Amoxicillin,0.6877720395502297,0.007764606055850304,0.7092640995747328,0.008882930613083786,0.26166031987814165,0.005586004692531853,0.2911970043158162,0.006276075710338893
option_a,Ceftriaxone,0.8583333701687815,0.009042838218541923,0.6488497535236643,0.02186259953569168,0.26166031987814165,0.005586004692531853,0.2911970043158162,0.006276075710338893
option_a,Ciprofloxacin,0.8089203313554272,0.009105744614469473,0.5754709043562383,0.021877263073868253,0.26166031987814165,0.005586004692531853,0.2911970043158162,0.006276075710338893
option_a,Cotrimoxazole,0.6628399043874788,0.014302507178722198,0.4875144609522932,0.014644320752537101,0.26166031987814165,0.005586004692531853,0.2911970043158162,0.006276075710338893
option_d,Amoxicillin-Clavulanic acid,0.6190811195072354,0.017808358393054113,0.26350317100652326,0.03296272887113278,0.2628332063975628,0.005324891272089157,0.18676313785224674,0.006094212061360369
option_d,Ampicillin-Amoxicillin,0.6437255557001965,0.010726348664303243,0.5713479481900755,0.014659999252993964,0.2628332063975628,0.005324891272089157,0.18676313785224674,0.006094212061360369
option_d,Ceftriaxone,0.8793302229010598,0.010582122594633911,0.6037455695504143,0.020123038008204017,0.2628332063975628,0.005324891272089157,0.18676313785224674,0.006094212061360369
option_d,Ciprofloxacin,0.8142658141190836,0.010975323588829564,0.52137478480039,0.027105230330842518,0.2628332063975628,0.005324891272089157,0.18676313785224674,0.006094212061360369
option_d,Cotrimoxazole,0.6379288044772913,0.00981654968043393,0.3943607511575812,0.016509492435065682,0.2628332063975628,0.005324891272089157,0.18676313785224674,0.006094212061360369
option_e,Amoxicillin-Clavulanic acid,0.6194606230667046,0.01820928515384452,0.27235425434203553,0.027298200182333917,0.26134044173648135,0.005666308151767959,0.19755775577557758,0.008338032778087154
option_e,Ampicillin-Amoxicillin,0.6498235844804838,0.012569542555853349,0.5868008855789814,0.01616936734996785,0.26134044173648135,0.005666308151767959,0.19755775577557758,0.008338032778087154
option_e,Ceftriaxone,0.8645114833013146,0.013245332348818221,0.6001966718993732,0.02934177917377839,0.26134044173648135,0.005666308151767959,0.19755775577557758,0.008338032778087154
option_e,Ciprofloxacin,0.8217964366395423,0.011893633313025868,0.567382315525042,0.01954686460482687,0.26134044173648135,0.005666308151767959,0.19755775577557758,0.008338032778087154
option_e,Cotrimoxazole,0.63601984966265,0.012303761550443798,0.3985224224994828,0.021879559398522923,0.26134044173648135,0.005666308151767959,0.19755775577557758,0.008338032778087154
